id,animal_category,disease,sym_part,symptom,url
972,フェレット,異物誤飲 <フェレット>,便の異常,['異物が混ざっている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1167?breed=05999
973,フェレット,異物誤飲 <フェレット>,吐く,['吐いている' '吐こうとするが、吐けない'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1167?breed=05999
974,フェレット,異物誤飲 <フェレット>,意識・状態の異常,['ぐったりしている' '震えている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1167?breed=05999
975,フェレット,異物誤飲 <フェレット>,食欲,['食欲不振（食欲がない）'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1167?breed=05999
976,フェレット,異物誤飲 <フェレット>,どこかに痛みがある,['腹痛'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1167?breed=05999
977,フェレット,胃潰瘍 <フェレット>,便の異常,['便の色がいつもと異なる'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1169?breed=05999
978,フェレット,胃潰瘍 <フェレット>,吐く,['吐いている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1169?breed=05999
979,フェレット,胃潰瘍 <フェレット>,体重の変化,['体重が減る'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1169?breed=05999
980,フェレット,胃潰瘍 <フェレット>,食欲,['食欲不振（食欲がない）'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1169?breed=05999
981,フェレット,フィラリア症（犬糸状虫症）<フェレット>,吐く,['吐いている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1178?breed=05999
982,フェレット,尿石症 <フェレット>,尿の異常,['失禁する' 'トイレの回数が多い' '尿の色がおかしい' '排尿姿勢をとるが尿が出ない' '排尿時に痛がる'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1165?breed=05999
983,フェレット,心筋症（拡張型・肥大型） <フェレット>,咳をする,['咳をする'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1163?breed=05999
